County Name,Stat Name,Date,Confirmed,Deaths
Adjuntas,Puerto Rico,1/22/2020,123,21
Aguada,Puerto Rico,1/22/2020,432,3
Aguadilla,Puerto Rico,1/22/2020,56,4
Aguas Buenas,Puerto Rico,1/22/2020,54,
Aibonito,Puerto Rico,1/22/2020,87,65
Anasco,Puerto Rico,1/22/2020,7,0
Arecibo,Puerto Rico,1/22/2020,6,0
Arroyo,Puerto Rico,1/22/2020,54,54
Barceloneta,Puerto Rico,1/22/2020,0,0
Barranquitas,Puerto Rico,1/22/2020,0,0
Bayamon,Puerto Rico,1/22/2020,32,32
Cabo Rojo,Puerto Rico,1/22/2020,0,0
Caguas,Puerto Rico,1/22/2020,34,34
Camuy,Puerto Rico,1/22/2020,6,6
Canovanas,Puerto Rico,1/22/2020,43,6
Carolina,Puerto Rico,1/22/2020,56,8
Catano,Puerto Rico,1/22/2020,23,0
Cayey,Puerto Rico,1/22/2020,78,8
Ceiba,Puerto Rico,1/22/2020,32,2
Ciales,Puerto Rico,1/22/2020,41,45
Cidra,Puerto Rico,1/22/2020,32,21
Coamo,Puerto Rico,1/22/2020,64,21
Comerio,Puerto Rico,1/22/2020,31,3
Corozal,Puerto Rico,1/22/2020,23,4
Culebra,Puerto Rico,1/22/2020,41,
Dorado,Puerto Rico,1/22/2020,71,65
Fajardo,Puerto Rico,1/22/2020,62,0
Florida,Puerto Rico,1/22/2020,0,0
Guanica,Puerto Rico,1/22/2020,54,54
Guayama,Puerto Rico,1/22/2020,0,0
Guayanilla,Puerto Rico,1/22/2020,0,0
Guaynabo,Puerto Rico,1/22/2020,32,32
Gurabo,Puerto Rico,1/22/2020,0,0
Hatillo,Puerto Rico,1/22/2020,34,34
Hormigueros,Puerto Rico,1/22/2020,6,6
Humacao,Puerto Rico,1/22/2020,6,6
Isabela,Puerto Rico,1/22/2020,8,8
Jayuya,Puerto Rico,1/22/2020,0,0
Juana Diaz,Puerto Rico,1/22/2020,8,8
Juncos,Puerto Rico,1/22/2020,2,2
Lajas,Puerto Rico,1/22/2020,45,45
Lares,Puerto Rico,1/22/2020,21,21
Las Marias,Puerto Rico,1/22/2020,2,2
Las Piedras,Puerto Rico,1/22/2020,4,4
Loiza,Puerto Rico,1/22/2020,5,5
Luquillo,Puerto Rico,1/22/2020,6,6
Manati,Puerto Rico,1/22/2020,3,3
Maricao,Puerto Rico,1/22/2020,8,8
Maunabo,Puerto Rico,1/22/2020,9,9
Mayaguez,Puerto Rico,1/22/2020,1,1
Moca,Puerto Rico,1/22/2020,4,4
Morovis,Puerto Rico,1/22/2020,123,7
Naguabo,Puerto Rico,1/22/2020,432,8
Naranjito,Puerto Rico,1/22/2020,56,9
Orocovis,Puerto Rico,1/22/2020,54,2
Patillas,Puerto Rico,1/22/2020,87,6
Penuelas,Puerto Rico,1/22/2020,7,1
Ponce,Puerto Rico,1/22/2020,6,7
Quebradillas,Puerto Rico,1/22/2020,54,8
Rincon,Puerto Rico,1/22/2020,0,2
Rio Grande,Puerto Rico,1/22/2020,0,5
Sabana Grande,Puerto Rico,1/22/2020,32,2
Salinas,Puerto Rico,1/22/2020,0,6
San German,Puerto Rico,1/22/2020,34,3
San Juan,Puerto Rico,1/22/2020,6,6
San Lorenzo,Puerto Rico,1/22/2020,43,3
San Sebastian,Puerto Rico,1/22/2020,56,8
Santa Isabel,Puerto Rico,1/22/2020,23,4
Toa Alta,Puerto Rico,1/22/2020,78,8
Toa Baja,Puerto Rico,1/22/2020,32,3
Trujillo Alto,Puerto Rico,1/22/2020,41,2
Utuado,Puerto Rico,1/22/2020,32,9
Vega Alta,Puerto Rico,1/22/2020,64,4
Vega Baja,Puerto Rico,1/22/2020,31,7
Vieques,Puerto Rico,1/22/2020,23,4
Villalba,Puerto Rico,1/22/2020,41,6
Yabucoa,Puerto Rico,1/22/2020,71,3
Yauco,Puerto Rico,1/22/2020,62,76
Autauga,Alabama,1/22/2020,0,3
Baldwin,Alabama,1/22/2020,54,6
Barbour,Alabama,1/22/2020,0,32
Bibb,Alabama,1/22/2020,0,43
Blount,Alabama,1/22/2020,32,5
Bullock,Alabama,1/22/2020,0,3
Butler,Alabama,1/22/2020,34,2
Calhoun,Alabama,1/22/2020,6,1
Chambers,Alabama,1/22/2020,6,4
Cherokee,Alabama,1/22/2020,8,5
Chilton,Alabama,1/22/2020,0,5
Choctaw,Alabama,1/22/2020,8,7
Clarke,Alabama,1/22/2020,2,8
Clay,Alabama,1/22/2020,45,9
Cleburne,Alabama,1/22/2020,21,92
Coffee,Alabama,1/22/2020,2,4
Colbert,Alabama,1/22/2020,4,5
Conecuh,Alabama,1/22/2020,5,6
Coosa,Alabama,1/22/2020,6,7
Covington,Alabama,1/22/2020,3,0
Crenshaw,Alabama,1/22/2020,8,3
Cullman,Alabama,1/22/2020,9,21
Dale,Alabama,1/22/2020,1,3
Dallas,Alabama,1/22/2020,4,4
DeKalb,Alabama,1/22/2020,123,
Elmore,Alabama,1/22/2020,432,65
Escambia,Alabama,1/22/2020,56,0
Etowah,Alabama,1/22/2020,54,0
Fayette,Alabama,1/22/2020,87,54
Franklin,Alabama,1/22/2020,7,0
Geneva,Alabama,1/22/2020,6,0
Greene,Alabama,1/22/2020,54,32
Hale,Alabama,1/22/2020,0,0
Henry,Alabama,1/22/2020,0,34
Houston,Alabama,1/22/2020,32,6
Jackson,Alabama,1/22/2020,0,6
Jefferson,Alabama,1/22/2020,34,8
Lamar,Alabama,1/22/2020,6,0
Lauderdale,Alabama,1/22/2020,43,8
Lawrence,Alabama,1/22/2020,56,2
Lee,Alabama,1/22/2020,23,45
Limestone,Alabama,1/22/2020,78,21
Lowndes,Alabama,1/22/2020,32,21
Macon,Alabama,1/22/2020,41,3
Madison,Alabama,1/22/2020,32,4
Marengo,Alabama,1/22/2020,64,
Marion,Alabama,1/22/2020,31,65
Marshall,Alabama,1/22/2020,23,0
Mobile,Alabama,1/22/2020,41,0
Monroe,Alabama,1/22/2020,71,54
Montgomery,Alabama,1/22/2020,62,0
Morgan,Alabama,1/22/2020,0,0
Perry,Alabama,1/22/2020,54,32
Pickens,Alabama,1/22/2020,0,0
Pike,Alabama,1/22/2020,0,34
Randolph,Alabama,1/22/2020,32,6
Russell,Alabama,1/22/2020,0,6
St. Clair,Alabama,1/22/2020,34,8
Shelby,Alabama,1/22/2020,6,0
Sumter,Alabama,1/22/2020,6,8
Talladega,Alabama,1/22/2020,8,2
Tallapoosa,Alabama,1/22/2020,0,45
Tuscaloosa,Alabama,1/22/2020,8,21
Walker,Alabama,1/22/2020,2,2
Washington,Alabama,1/22/2020,45,4
Wilcox,Alabama,1/22/2020,21,5
Winston,Alabama,1/22/2020,2,6
Aleutians East,Alaska,1/22/2020,4,3
Aleutians West,Alaska,1/22/2020,5,8
Anchorage,Alaska,1/22/2020,6,9
Bethel,Alaska,1/22/2020,3,1
Bristol Bay,Alaska,1/22/2020,8,4
Denali,Alaska,1/22/2020,123,7
Dillingham,Alaska,1/22/2020,432,8
Fairbanks North Star,Alaska,1/22/2020,56,9
Haines,Alaska,1/22/2020,54,2
Hoonah-Angoon,Alaska,1/22/2020,87,6
Juneau,Alaska,1/22/2020,7,1
Kenai Peninsula,Alaska,1/22/2020,6,7
Ketchikan Gateway,Alaska,1/22/2020,54,8
Kodiak Island,Alaska,1/22/2020,0,2
Kusilvak,Alaska,1/22/2020,0,5
Lake and Peninsula,Alaska,1/22/2020,32,2
Matanuska-Susitna,Alaska,1/22/2020,0,6
Nome,Alaska,1/22/2020,34,3
North Slope,Alaska,1/22/2020,6,6
Northwest Arctic,Alaska,1/22/2020,43,3
Petersburg,Alaska,1/22/2020,56,8
